Incident ID,Article URL,Incident Description,Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Notes
747,https://www.cbc.ca/news/canada/sudbury/sault-ste-marie-racism-funding-1.5422010,"Sault Ste. Marie asks feds for $33,000 to help combat racism in the city",2020-01-10,Ontario,Sault Ste. Marie,,Non-Criminal,,,Middle Eastern,,,,,,Iraq,,,Xenophobia,Politics,Hate speech: Imagery,
748,https://www.thepeterboroughexaminer.com/news-story/9804485-police-investigating-after-more-white-nationalist-posters-go-up-in-downtown-peterborough/,Police investigating after more white nationalist posters go up in downtown Peterborough,2020-01-10,Ontario,Peterborough,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,,,,,,Xenophobia,Politics,,
749,https://www.hilltimes.com/2020/01/07/muslim-canadian-group-deeply-disappointed-by-end-to-ethics-review-of-senator-boisvenus-facebook-activity/229643,Muslim-Canadian group ‘deeply disappointed’ by end to ethics review of Senator Boisvenu’s Facebook activity,2020-01-07,,,,Criminal: Unknown,Other/Unknown,,East Asian,,,South Korea,,,,,,"Religious discrimination: Islamophobia, Xenophobia","Online: Social media, Politics",Hate speech: Letter/flyer,
750,https://www.cbc.ca/news/canada/manitoba/poems-removed-parliamentary-website-1.5416642,Poems by man who killed Indigenous woman removed from parliamentary website,2020-01-06,,,,Non-Criminal,,,Indigenous,,,,,,,,,,"Online: Other, Politics",,
751,https://regina.ctvnews.ca/court-of-appeal-orders-new-trial-in-case-of-doctor-unfairly-assessed-for-coroner-s-office-job-1.4762581,Court of Appeal orders new trial in case of doctor unfairly assessed for Coroner's Office job,2020-01-10,Saskatchewan,Regina,,Criminal: Charged,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,,,Hate speech: Imagery,
752,https://globalnews.ca/news/6385839/athabasca-alberta-cab-swastika-vandalism/,"After taxi was spray-painted with swastikas, northern Alberta community rallied to help owner",2020-01-08,Alberta,Athabasca,,Criminal: Unknown,,,"Black/African/Caribbean, Indigenous",British Virgin Islands,,,,,,,,Religious discrimination: Anti-Semitism,Protective services: Peace officers,Vandalism,
753,https://www.thepeterboroughexaminer.com/news-story/9812633-racist-graffiti-removed-from-footbridge-in-peterborough/,Racist graffiti removed from footbridge in Peterborough,2020-01-17,Ontario,Peterborough,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,,Vandalism,
754,https://www.thetelegram.com/news/canada/woman-accuses-halifax-police-of-racial-profiling-after-violent-walmart-arrest-399171/,Woman accuses Halifax police of racial profiling after violent Walmart arrest,2020-01-17,Nova Scotia,Halifax,,Criminal: Not charged,,,Black/African/Caribbean,,,,,,,,,,,Harassment: Racial profiling,
755,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/jewish-group-raises-concerns-about-secret-hitler-board-game-sold-in-montreal,Jewish group raises concerns about 'Secret Hitler' board game sold in Montreal,2020-01-14,Quebec,Montreal,,Non-Criminal,,,"South Asian, Southeast Asian",,,,,,,India,Indonesia,Religious discrimination: Anti-Semitism,,Other,
756,https://www.toronto.com/news-story/9805830--how-sad-it-was-toronto-hockey-great-s-daughter-says-of-racist-incident/,"Toronto hockey great's granddaughter victim of racist incident, accused banned from league",2020-01-15,Ontario,Scarborough,,Non-Criminal,,,Black/African/Caribbean,Somalia,,,,,,,,,Sports: Hockey,Hate speech: Other,
757,https://globalnews.ca/news/6421263/i-am-here-canada-counter-speak-facebook-comments/,Counter-speaking group trying to make social media a better place,2020-01-17,,,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,,Online: Social media,,
758,https://www.thegrowthop.com/cannabis-business/cannabis-brand-blk-mkt-attracts-controversy-at-vancouver-conference,Cannabis brand BLK MKT attracts controversy at Vancouver conference,2020-01-17,British Columbia,Vancouver,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Sexism,Educational institute: Post-secondary,,
759,https://www.thestar.com/politics/provincial/2020/01/24/ford-defends-phenomenal-appointment-of-toronto-police-officer-to-human-rights-commission.html,"Ford defends ‘phenomenal’ appointment of Toronto police officer to Human Rights Commission, during the Commission's investigation into racial profiling by Toronto Police",2020-01-24,Ontario,Toronto,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Anti-2SLGBTQIA+,Politics,Harassment: Racial profiling,
760,https://www.cbc.ca/news/canada/british-columbia/land-covenants-1.5442686,West Vancouver makes racist land covenants history,2020-01-28,British Columbia,West Vancouver,,Non-Criminal,Male,,Indigenous,,,,,,,,,Religious discrimination: Anti-Sikhism,Politics,,
761,https://www.cbc.ca/news/politics/csis-muslim-discrimination-lawsuit-1.5433654,"A 'second class' spy: Muslim CSIS agent alleges discrimination, abuse",2020-01-21,Ontario,Ottawa,,Non-Criminal,,,Central Asian,,,,,,,,,Religious discrimination: Islamophobia,,Harassment: Other,
762,https://globalnews.ca/news/6453123/halifax-police-officer-racially-profiled/,Former officer says he was racially profiled by Halifax police,2020-01-23,Nova Scotia,Halifax,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,Xenophobia,,Harassment: Racial profiling,
763,https://www.cbc.ca/news/canada/toronto/coronavirus-chinese-stigma-york-regional-school-board-1.5443128,Ontario school board concerned parents' petition prompted by coronavirus fears could stoke racism,2020-01-28,Ontario,Toronto,York,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,,Educational institute: Other,Harassment: Racial profiling,
764,https://www.blogto.com/city/2020/01/coronavirus-concerns-toronto-are-leading-racism-against-chinese-community/,Racist trolls comment on blogTO's Instagram post about a new Chinese restaurant,2020-01-27,Ontario,Toronto,,Non-Criminal,,,East Asian,,,China,,,,,,Religious discrimination: Islamophobia,Environmental racism,Harassment: Racial profiling,
765,https://ottawa.ctvnews.ca/ottawa-area-school-board-investigates-racist-promposal-that-refers-to-black-people-picking-cotton-1.4792566,Ottawa-area school board investigates racist 'promposal' that refers to black people picking cotton,2020-01-31,Ontario,Kemptville,,Non-Criminal,Male,,Black/African/Caribbean,Sierra Leone,,,,,,,,,Educational institute: Other,Hate speech: Other,
766,https://www.cp24.com/news/anti-semitic-and-racist-graffiti-found-outside-newmarket-elementary-school-1.4785585,Anti-Semitic and racist graffiti found outside Newmarket elementary school,2020-01-27,Ontario,Newmarket,,Criminal: Unknown,,,"South Asian, Southeast Asian",,,,,,,Pakistan,,Religious discrimination: Anti-Semitism,Educational institute: K-12,Vandalism,
767,https://www.yorkregion.com/news-story/9837111-wuhan-noodle-restaurant-in-markham-experiences-racism-amid-coronavirus-fear/,Wuhan Noodle restaurant in Markham experiences racism amid coronavirus fear,2020-01-31,Ontario,Markham,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,Religious discrimination: Anti-Sikhism,,,
768,https://www.cp24.com/news/racism-probe-in-peel-school-board-has-unearthed-stories-of-marginalization-discrimination-1.4785493,"Racism probe in Peel school board has unearthed 'stories of marginalization, discrimination'",2020-01-27,Ontario,Peel Region,,Criminal: Charged,,,Black/African/Caribbean,Somalia,,,,,,,,,Educational institute: Other,,
769,https://www.vancouverisawesome.com/vancouver-news/disturbing-racist-flyers-circulated-east-vancouver-2053634,Extremely disturbing': Racist flyers circulated in East Vancouver,2020-01-28,British Columbia,Vancouver,East Vancouver,Criminal: Not charged,Other/Unknown,,East Asian,,,,,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia",Politics,Hate speech: Letter/flyer,
770,https://www.straight.com/news/1352741/indigenous-scholar-and-filmmaker-nikki-sanchez-accuses-westjet-racism,Indigenous scholar and filmmaker Nikki Sanchez accuses WestJet of racism,2020-01-28,British Columbia,Victoria,,Criminal: Not charged,,,Indigenous,,,,,,,,,,Online: Other,Harassment: Racial profiling,
771,https://www.straight.com/news/1354031/journalist-peter-akman-no-longer-works-ctv-after-infamous-coronavirus-tweet,Journalist Peter Akman no longer works for CTV after infamous coronavirus tweet,2020-01-30,Ontario,Toronto,,Non-Criminal,Other/Unknown,,East Asian,,,,,,,,,Religious discrimination: Anti-Hinduism,,Harassment: Racial profiling,
772,https://ottawasun.com/news/local-news/police-board-approves-plan-to-hire-100-new-officers/wcm/5e097e7a-e8df-4da2-bb69-c26105e86e35,"Police board supports Sloly’s plan to hire 100 new officers — service has received 363 applications, the same number received in four months of 2019. Of these applicants, 111 were racialized individuals.",2020-01-27,Ontario,Ottawa,,Non-Criminal,,,Southeast Asian,,,,,,,,Cambodia,,Online: Other,Harassment: Carding,
773,https://www.martlet.ca/letter-an-open-letter-to-the-victoria-police-department/,Director of International Student Relations accuses Victoria police of racial violence,2020-01-21,British Columbia,Victoria,,Non-Criminal,,,Indigenous,,,,,,,,,Religious discrimination: Anti-Hinduism,,,
774,https://www.newwestrecord.ca/news/new-west-police-have-a-new-policy-on-controversial-street-checks-1.24062498,New West police have a new policy on controversial street checks,2020-01-27,British Columbia,New Westminster,,Non-Criminal,Other/Unknown,,"Black/African/Caribbean, Indigenous",,,,,,,,,,Politics,Harassment: Racial profiling,
775,https://www.cbc.ca/news/canada/edmonton/do-rag-dispute-silent-protest-1.5444030,Silent protest held at Edmonton Catholic board meeting over do-rag dispute,2020-01-28,Alberta,Edmonton,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Online: Other,,
776,https://www.cbc.ca/news/canada/toronto/racism-coronavirus-canada-1.5449023,"""My sister-in-law said in her workplace there were people coughing and the Chinese staff were told by the manager not to come back to work the next day, but not the other staff,"" Go told CBC News.",2020-02-01,Ontario,Toronto,,Non-Criminal,,,East Asian,,,China,,,,,,Religious discrimination: Anti-Hinduism,Workplace,Harassment: Racial profiling,
777,https://www.sudbury.com/local-news/racist-incident-shakes-louis-street-activist-2068848,Racist incident shakes Louis Street activist,2020-02-04,Ontario,Sudbury,,Non-Criminal,,,Black/African/Caribbean,Somalia,,,,,,,,Xenophobia,,"Harassment: Other, Hate speech: Other",
778,https://globalnews.ca/news/6500898/vandalized-provincial-sign-northern-pulp/,Vandalized provincial sign an act of racism in response to Northern Pulp shut down: N.S. MP,2020-02-03,Nova Scotia,Amherst,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,,Vandalism,
779,https://www.cbc.ca/news/politics/lynn-beyak-metis-anti-racism-training-session-1.5450372,Lynn Beyak claimed she was Métis during her anti-racism training sessions,2020-02-03,Ontario,,,Non-Criminal,,,Indigenous,,,,,,,,,,Politics,Harassment: Other,
780,https://www.cbc.ca/news/canada/manitoba/winnipeg-calvin-christian-school-offensive-language-1.5453777,"Language used by principal in school newsletter 'inappropriate and racist,' Winnipeg dad says",2020-02-06,Manitoba,Winnipeg,,Non-Criminal,,,Indigenous,,,,,,,,,Religious discrimination: Anti-Hinduism,Educational institute: Other,Hate speech: Letter/flyer,
781,https://globalnews.ca/news/6547719/racist-posters-durham-region-police/,Police searching for suspects who allegedly placed racist posters around Durham Region,2020-02-07,Ontario,Whitby,,Criminal: Unknown,Other/Unknown,,East Asian,,,South Korea,,,,,,Xenophobia,,Hate speech: Other,
782,https://www.cbc.ca/news/canada/montreal/longueil-police-coronavirus-bullying-1.5452371,"Students, parents on Montreal's South Shore warned against racism over coronavirus",2020-02-05,Quebec,Longueuil,,Non-Criminal,"Female, Male",,South Asian,,,,,,,,,,Online: Social media,,
783,https://montrealgazette.com/news/local-news/opposition-renews-call-for-bodycams,opposition demands body cameras for montreal police,2020-02-05,Quebec,Montreal,,Non-Criminal,"Female, Male",,"Black/African/Caribbean, Indigenous, Middle Eastern",,,,,,,,,Religious discrimination: Anti-Sikhism,,Harassment: Racial profiling,
784,https://www.cbc.ca/news/canada/british-columbia/indigenous-racial-profiling-accusation-b-c-1.5455401,Indigenous man kicked out of B.C. restaurant over coffee creamers alleges racial profiling,2020-02-07,British Columbia,Nanaimo,,Non-Criminal,,,Indigenous,,,,,,,,,,Protective services: Military,Harassment: Racial profiling,
785,https://www.citynews1130.com/2020/02/14/increasing-racism-wetsuweten-people/,"Online, hundreds of people have suggested drivers run over Wet’suwet’en protesters",2020-02-14,,,,Non-Criminal,Female,,Indigenous,,,,Métis,,,,,"Religious discrimination: Anti-Semitism, Religious discrimination: Islamophobia","Online: Other, Politics",,
786,https://www.nationalobserver.com/2020/02/14/news/scheer-blasted-racist-and-absurd-telling-wetsuweten-supporters-check-their-privilege,Scheer blasted as 'racist and absurd' for telling Wet'suwet'en supporters to 'check their privilege',2020-02-14,,,,Non-Criminal,,,Indigenous,,,,Inuit,,,,,Religious discrimination: Anti-Semitism,Politics,,
787,https://www.cbc.ca/news/canada/manitoba/indigenous-racism-winnipeg-violet-baptiste-1.5464202,Winnipeg woman asks why nobody spoke up to racist bus riders,2020-02-14,Manitoba,Winnipeg,,Non-Criminal,"Female, Male",,Indigenous,,,,,,,,,,"Politics, Transit",,
788,https://www.ctvnews.ca/canada/ont-woodshop-teacher-suspended-after-racist-comment-safety-violations-1.4811233,"Ont. woodshop teacher suspended after racist comment, safety violations",2020-02-13,Ontario,Brampton,,Criminal: Charged,,,Central Asian,,Afghanistan,,,,,,,,Educational institute: Other,Hate speech: Other,
789,https://globalnews.ca/news/6555169/pallister-accused-of-racist-language-in-fundraising-letter-on-blockades/,Pallister accused of racist language in fundraising letter on blockades,2020-02-14,Manitoba,,,Non-Criminal,,,Indigenous,,,,,,,,,,Politics,Hate speech: Letter/flyer,
790,https://www.cbc.ca/news/canada/thunder-bay/dryden-hotel-racism-accusations-1.5457376,Dryden hotel faces racism accusation during Indigenous hockey tournament,2020-02-09,Ontario,Dryden,,Non-Criminal,"Female, Male",,Indigenous,,,,First Nations,,,,,,Sports: Hockey,,
791,https://montreal.ctvnews.ca/montreal-man-alleges-racial-profiling-wants-apology-after-police-barge-into-super-bowl-party-he-says-1.4812952,"Montreal man alleges racial profiling, wants apology after police barge into Super Bowl party, he says",2020-02-14,Quebec,Montreal,,Non-Criminal,,,Black/African/Caribbean,Ethiopia,,,,,,,,,Sports: Other,Harassment: Racial profiling,
792,https://www.lawtimesnews.com/resources/professional-regulation/lso-diversity-debate-reignited-after-alleged-conflict-between-equity-advisor-bencher/325421,"LSO diversity debate reignited after alleged conflict between equity advisor, bencher",2020-01-24,Ontario,,,Non-Criminal,,,Middle Eastern,,,,,,,,,Religious discrimination: Islamophobia,Politics,Harassment: Racial profiling,
793,https://atlantic.ctvnews.ca/protesters-show-support-for-woman-charged-in-walmart-incident-1.4818337,Protesters show support for woman charged in Walmart incident,2020-02-19,Nova Scotia,Halifax,,Non-Criminal,"Female, Male",,Black/African/Caribbean,Somalia,,,,,,,,,,Harassment: Racial profiling,
794,https://www.cbc.ca/news/canada/toronto/toronto-police-plan-cctv-cameras-jane-finch-community-surprised-angry-1.5469409,This is surveillance': Jane-Finch community angry at police plan for CCTV cameras,2020-02-19,Ontario,Toronto,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,,,,,,,,,,,Harassment: Racial profiling,
795,https://www.thechronicleherald.ca/news/local/mom-accuses-halifax-police-of-racial-profiling-in-boys-violent-arrest-at-bedford-mall-414668/,Mom accuses Halifax police of racial profiling in boy's violent arrest at Bedford mall,2020-02-23,Nova Scotia,Bedford,,Criminal: Unknown,Other/Unknown,,Black/African/Caribbean,Uganda,,,,,,,,,,Harassment: Racial profiling,
796,https://panow.com/2020/02/25/p-a-establishes-curfew-on-walkways-exempts-rotary-trail/,"P.A. establishes curfew on walkways, exempts Rotary Trail, despite the fervent opposition of one councillor who said it could lead to racial profiling and infringe on residents’ civil liberties.",2020-02-25,Saskatchewan,Prince Albert,,Non-Criminal,Other/Unknown,,East Asian,,,South Korea,,,,,,"Religious discrimination: Islamophobia, Xenophobia",Public space,Harassment: Racial profiling,
797,https://globalnews.ca/news/6579968/value-village-toronto-racist-tirade-video/,Video appears to show man’s racist tirade toward security guard at Toronto Value Village store,2020-02-21,Ontario,Toronto,,Non-Criminal,,,South Asian,,,,,,,India,,,,Hate speech: Other,
798,https://www.thestar.com/opinion/2020/02/18/humiliation-and-isolation-black-professor-at-york-university-alleges-racism-and-harassment.html,‘Humiliation and isolation’: Black professor at York University alleges racism and harassment,2020-02-20,Ontario,Toronto,York University,Non-Criminal,,,Black/African/Caribbean,Ethiopia,,,,,,,,,Educational institute: Post-secondary,Harassment: Other,
799,https://www.cjnews.com/news/canada/jewish-toronto-restaurateur-fights-racism,JEWISH TORONTO RESTAURATEUR FIGHTS RACISM,2020-02-20,Ontario,Toronto,,Non-Criminal,,,East Asian,,,China,,,,,,,,Hate speech: Imagery,
800,https://www.thestar.com/news/gta/2020/02/20/brampton-woodshop-teacher-suspended-for-six-months-after-making-racist-remarks-to-student.html,"Six-month suspension for Brampton teacher who made racist remarks to student ‘an insult,’ Muslim organization says",2020-02-20,Ontario,Brampton,,Criminal: Charged,,,Central Asian,,Afghanistan,,,,,,,Religious discrimination: Anti-Sikhism,Educational institute: Other,Hate speech: Other,
801,https://www.yorkregion.com/news-story/9859803-160-newmarket-students-write-positive-affirmations-after-racist-graffiti/,160 Newmarket students write ‘positive affirmations’ after racist graffiti,2020-02-24,Ontario,Newmarket,,Non-Criminal,Female,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Semitism,,Vandalism,
802,https://www.cbc.ca/news/canada/ottawa/racist-emails-ottawa-carleton-district-school-board-1.5474391,Racist email sent to OCDSB students,2020-02-24,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,Djibouti,,,,,,,,,Sports: Hockey,Hate speech: Other,
803,https://www.cbc.ca/kidsnews/post/it-really-hurts-first-nations-youth-use-red-tape-to-call-out-racism-in-hock,‘It makes me mad’: First Nations youth use red tape to call out racism in hockey,2020-02-20,Quebec,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Sports: Hockey,Hate speech: Other,
804,https://atlantic.ctvnews.ca/haligonians-protest-police-brutality-on-halifax-regional-police-s-doorstep-1.4834130,Haligonians protest police brutality on Halifax Regional Police's doorstep,2020-03-01,Nova Scotia,Halifax,,Non-Criminal,Other/Unknown,,Black/African/Caribbean,,,,,,,,,,,Harassment: Racial profiling,
805,https://ricochet.media/en/2961/bomb-threat-made-against-wetsuweten-and-tyendinaga-mohawks-as-far-right-escalates-talk-of-violence,Bomb threat made against Wet’suwet’en and Tyendinaga Mohawks as far right escalates talk of violence,2020-02-28,British Columbia,Wet'suwet'en,,Criminal: Unknown,Male,,Indigenous,,,,Métis,,,,,,,Hate speech: Other,
806,https://aptnnews.ca/2020/02/28/do-not-seek-retribution-alberta-chief-calls-for-calm-after-racist-videos-surface/,‘Do not seek retribution’: Alberta chief calls for calm after racist videos surface,2020-02-28,Alberta,,,Non-Criminal,,,Indigenous,,,,,,,,,Religious discrimination: Anti-Sikhism,,Hate speech: Other,
807,https://globalnews.ca/news/6600386/calgary-college-hockey-racial-slur-apology/,Calgary college hockey player says apology not enough for on-ice racial slur,2020-02-26,Alberta,Calgary,,Non-Criminal,Male,,Indigenous,,,,First Nations,,,,,Sexism,"Educational institute: Post-secondary, Sports: Hockey",Hate speech: Other,
808,https://globalnews.ca/news/6610934/ponoka-school-incident-social-media-hold-and-secure/,"Charges coming after incidents resulting in Alberta school going in hold and secure over racial slurs, threats",2020-02-28,Alberta,Ponoka,,Criminal: Unknown,,,Indigenous,,,,,,,,,Religious discrimination: Anti-Sikhism,Educational institute: Other,Hate speech: Other,
809,https://globalnews.ca/news/6608185/indigenous-wetsuweten-protests/,Racist comments on Indigenous stories prompts outlets to turn them off,2020-02-28,,,,Non-Criminal,,,Indigenous,,,,,,,,,Religious discrimination: Anti-Hinduism,Online: Other,Hate speech: Other,
810,https://globalnews.ca/news/6626029/indigenous-people-canada-racism-wetsuweten-blockades/,"Canadian Anti-Hate Network says certain politicians are inflaming the issue, making people feel it’s justifiable based on some of the hatred they’ve seen online, pointing to the Feb. 19 incident in Edmonton in which a group of counter-protesters dismantled part of a protest that had been blockading a CN Rail line where Conservative leadership candidate Peter MacKay tweeted his support",2020-02-19,Alberta,Edmonton,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,"Online: Other, Politics",,
811,https://globalnews.ca/news/6594902/calgary-herald-racist-comic-syndicated-apology/,"Calgary Herald, international syndication service, apologize for ‘racist’ comic",2020-02-25,Alberta,Calgary,,Non-Criminal,Male,,Indigenous,,,,,,,,,,Politics,Harassment: Racial profiling,
812,https://www.huffingtonpost.ca/entry/lynn-beyak-suspended-senate-second-time_ca_5e5829f9c5b6beedb4e8b42f,Lynn Beyak Suspended Again Over Racist Letters Despite Last-Ditch Apology,2020-02-27,Ontario,,,Non-Criminal,,,Indigenous,,,,First Nations,,,,,,Politics,Hate speech: Letter/flyer,
813,https://www.straight.com/news/1366761/ndp-mla-anne-kang-calls-out-racist-confession-published-newspaper,"NDP MLA Anne Kang calls out ""racist confession"" published by Prince George newspaper",2020-02-28,British Columbia,Prince George,,Non-Criminal,,,Indigenous,,,,,,,,,,Politics,Hate speech: Other,
814,https://www.thechronicleherald.ca/opinion/local-perspectives/paul-schneidereit-zann-goes-national-with-fight-against-environmental-racism-416225/,Liberal MP introduces private member’s bill — the National Strategy to Redress Environmental Racism Act,2020-02-26,Ontario,Ottawa,,Non-Criminal,,,Middle Eastern,,,,,,Palestine,,,,Politics,,
815,https://www.cbc.ca/news/canada/windsor/clearview-ai-worrisome-for-black-indigenous-marginalized-communities-1.5486325,"Windsor police acknowledge their use of Clearview AI, which is worrisome for black, Indigenous, racialized groups because facial recognition tools have historically done a poor job of identifying people of colour, especially black people",2020-03-05,Ontario,Windsor,,Non-Criminal,,,"Black/African/Caribbean, Indigenous",,,,First Nations,,,,,,Sports: Basketball,Harassment: Racial profiling,
816,https://www.insauga.com/police-called-after-racism-discussions-become-heated-at-peel-district-school-board-meeting,Police called after racism discussions become heated at Peel District School Board meeting,2020-02-26,Ontario,Peel Region,,Criminal: Unknown,,,Black/African/Caribbean,,,,,,,,,"Religious discrimination: Islamophobia, Xenophobia","Educational institute: Other, Politics",,
817,https://globalnews.ca/news/6671933/ontario-peel-school-board-review-racism/,Ontario government issues directives to Peel school board after review on racism,2020-03-13,Ontario,Peel Region,,Non-Criminal,,,Black/African/Caribbean,Jamaica,,,,,,,,Religious discrimination: Other,"Educational institute: Other, Politics",,
818,https://www.queensjournal.ca/story/2020-01-31/news/chinese-new-year-couplets-torn-down-in-victoria-hall/,Chinese New Year couplets torn down in Victoria Hall,2020-01-31,Ontario,Kingston,,Non-Criminal,Other/Unknown,,East Asian,,,China,,,,,,,,Vandalism,
819,https://leaderpost.com/news/saskatchewan/schmidt-jury-recommendations-focus-on-bullying-supports/,Coroner's jury makes recommendations that focus on racism and bullying in school after 13-year-old's suicide,2020-03-09,Saskatchewan,Regina,,Criminal: Unknown,,,Black/African/Caribbean,,,,,,,,,Religious discrimination: Anti-Sikhism,Educational institute: Other,Harassment: Other,
820,https://aptnnews.ca/2020/03/09/we-are-not-safe-online-threats-racism-causing-fear-for-indigenous-women-says-mmiwg-commissioner/,"Indigenous protesters called everything from “stupid” to “terrorists""",2020-03-09,Saskatchewan,Saskatoon,,Non-Criminal,Other/Unknown,,Indigenous,,,,Métis,,,,,,,,
821,https://montreal.ctvnews.ca/brossard-mayor-calls-out-racist-misinformation-about-coronavirus-and-local-chinese-community-1.4791044?utm_medium=twitter&utm_source=dlvr.it,Brossard mayor calls out racist misinformation on social media about coronavirus and local Chinese community,2020-01-30,Quebec,Brossard,,Non-Criminal,Other/Unknown,,East Asian,,,China,,,,,,,Online: Social media,Harassment: Racial profiling,
822,https://thefulcrum.ca/news/it-was-a-horrible-experience-black-u-of-o-student-who-was-carded-slams-presidents-good-crisis-comments/,‘It was a horrible experience’: Black U of O student who was carded slams president’s ‘good crisis’ comments,2020-03-14,Ontario,Ottawa,,Non-Criminal,"Female, Male",,Black/African/Caribbean,Tanzania,,,,,,,,,,,
823,https://www.cbc.ca/news/canada/montreal/koreans-montreal-safety-warning-1.5501963,Montreal's Korean consulate issues safety warning after man stabbed,2020-03-18,Quebec,Montreal,,Criminal: Unknown,Other/Unknown,,East Asian,,,China,,,,,,Religious discrimination: Islamophobia,Environmental racism,Harassment: Racial profiling,
824,https://windsorstar.com/news/politics/pro-life-candidates-leslyn-lewis-derek-sloan-qualify-for-final-ballot-in-tory-leadership-race/wcm/073cbe30-b763-431e-8145-75f7ab896f06/,Conservative Party disqualifies Jim Karahalios from leadership race after complaints over his behaviour,2020-03-20,Ontario,Ottawa,,Non-Criminal,,,Black/African/Caribbean,Mali,,,,,,,,Religious discrimination: Islamophobia,Protective services: Peace officers,Hate speech: Other,
825,https://www.thestar.com/opinion/2020/03/16/migrant-worker-groups-slam-new-canadian-border-restrictions.html,Migrant worker groups says new Canadian border restrictions are racist,2020-03-16,,,,Non-Criminal,"Female, Male",,South Asian,,,,,,,India,,Xenophobia,,Harassment: Other,
826,https://northernontario.ctvnews.ca/canadian-actor-subjected-to-covid-19-racism-in-north-bay-1.4871499,Canadian actor subjected to COVID-19 racism in North Bay,2020-03-27,Ontario,North Bay,,Non-Criminal,,,N/A,,,,,,,,,,,Harassment: Other,
827,https://www.guelphtoday.com/coronavirus-covid-19-local-news/guelphs-chinese-community-redirects-focus-on-aid-efforts-while-facing-racism-2201736,Chinese resident recalls a recent incident in Shoppers Drug Mart where a woman harshly told her to keep a farther distance from her despite being more than two metres away.,2020-03-26,Ontario,Guelph,,Non-Criminal,,,East Asian,,,China,,,,,,,,Harassment: Racial profiling,
828,https://www.guelphtoday.com/coronavirus-covid-19-local-news/guelphs-chinese-community-redirects-focus-on-aid-efforts-while-facing-racism-2201736,Chinese Canadian woman who was walking on the street was given the middle finger by a passerby in a car,2020-03-26,Ontario,Guelph,,Non-Criminal,,,East Asian,,,China,,,,,,,,Harassment: Other,
829,https://www.guelphtoday.com/coronavirus-covid-19-local-news/guelphs-chinese-community-redirects-focus-on-aid-efforts-while-facing-racism-2201736,"Couple approached a Chinese Canadian woman and said ""F-word Chinese""",2020-03-26,Ontario,Guelph,,Non-Criminal,,,East Asian,,,China,,,,,,Religious discrimination: Islamophobia,Environmental racism,Harassment: Other,
830,https://www.halifaxexaminer.ca/featured/racist-tropes-about-covid-19-echo-the-long-history-of-anti-asian-stereoyping/,"Clerk in store sprays disinfectant only on Asian family, and not on the other shoppers surrounding them",2020-03-21,Nova Scotia,Halifax,,Non-Criminal,,,"Central Asian, Middle Eastern",,Afghanistan,,,,Kuwait,,,,Sports: Basketball,Harassment: Racial profiling,
831,https://www.theglobeandmail.com/politics/article-disqualified-conservative-leadership-candidate-sues-party-to-re-enter/,"Conservative leadership candidate, who was disqualified for racist comments, sues party to re-enter race",2020-03-24,Ontario,Cambridge,,Non-Criminal,Male,,Indigenous,,,,,,,,,Religious discrimination: Islamophobia,Politics,,
832,https://montreal.ctvnews.ca/asian-montrealers-say-they-ve-increasingly-been-victims-of-racism-during-covid-19-crisis-1.4880671,Man verbally and physically harassed because of his Asian heritage,2020-04-03,Quebec,Longueuil,,Non-Criminal,,,"Central Asian, Middle Eastern",,,,,,,,,,Online: Social media,Harassment: Other,
833,https://montreal.ctvnews.ca/asian-montrealers-say-they-ve-increasingly-been-victims-of-racism-during-covid-19-crisis-1.4880671,Man harasses Asian couple outside grocery store,2020-04-03,Quebec,Montreal,,Non-Criminal,,,Central Asian,,,,,,,,,Religious discrimination: Anti-Sikhism,,Harassment: Other,
834,https://www.mtlblog.com/news/canada/qc/montreal/statues-at-montreal-buddhist-temple-defaced-with-sledgehammer-video,Two lion statues at the Quan Am Temple in Cote-des-Neiges were defaced with a sledgehammer,2020-03-04,Quebec,Montreal,,Non-Criminal,,,N/A,,,,,,,,,,Healthcare/public health,Vandalism,
